CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
9378655,2015,4773,122607234,346647164,182079432,141376084,23191648,3390334,451220385,669899,0,20754448,52627320,0,0,1186232851,1197551873,1166313448,31238425,0,31238425,0,2243
9378655,2016,4773,209517860,674497601,172609043,460146704,41741854,3716687,834418118,695429,0,52618601,52627320,0,1670039157,1684342755,1652407831,31934924,0,31864532,0,2656,
9378655,2017,4773,227348806,683709507,234579074,423227217,25903216,4298709,846179874,533961,0,68643187,52627320,0,1652550590,1656640298,1635096658,21543640,0,17785413,0,2829,
9378655,2018,4773,238139165,646727714,223065680,382013679,41648355,4546097,782728623,640538,0,106043815,52627320,0,1739893747,1742043807,1697776098,44267709,0,37400628,0,2925,
9378655,2019,4773,253417850,662036084,302766645,331824248,27445191,7252948,820849056,899172,0,100958654,113796396,0,1869864666,1873538846,1889611130,0,16072284,0,16072284,3168,
9378655,2020,4773,177272218,679744869,331306431,293456518,54981920,6991715,842065417,1047251,19963514,932620,113796396,0,1981899948,1988882232,2038430195,0,49547963,0,49547963,3399,
9378655,2021,4773,288430218,737903333,359183721,339402179,39317433,7165748,963080286,1727651,23526265,45165097,172832796,0,2374018108,2380023061,2394826984,0,14803923,0,14803923,3195,
9378655,2022,4773,381117156,1075506936,483094205,490968667,101444064,9901645,1390247800,903009,37066822,38308106,172832796,0,3193482856,3209318426,3216175417,0,6856991,0,6856991,3532,
9378655,2023,4773,1542928048,3658936838,1294505220,2289096147,75335471,14979037,3894942568,1998205,124044062,1195859088,392342988,,4191088188,4212303696,4172347769,39955927,0,35524910,0,4056,
9378655,2024,4773,1546266012,4049084371,1446014444,2526153889,76916038,18274018,4253931981,-550758,154313359,1205929819,392342988,0,10768168945,10860886997,10751314037,109572960,0,9622720,0,5618,
