CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
9997007,2015,4511,36103592,383044234,277971714,91203658,13868862,710424,168067117,76141678,50790887,124858568,178600,0,0,2018086693,2057732775,1952788069,104944706,0,81704411,0,136
9997007,2016,4511,39042633,528392417,390400811,120146227,17845379,596538,258915478,97133443,64032084,147950583,178600,0,2467034397,2505946791,2375047223,130899568,0,105154786,0,141,
9997007,2017,4511,46840533,617617115,428965869,182764823,5886423,571244,277054021,137420845,100110928,150443098,178600,0,2904687484,2955180089,2811345275,143834814,0,107492515,0,144,
9997007,2018,4511,49955838,739661176,488426439,159770241,91464496,1984295,331835963,40855540,222866414,196043392,178600,0,3159049060,3206801821,3011654807,195147014,0,154015518,0,144,
9997007,2019,4511,50787305,934761126,628724175,157466673,148570278,531810,437026162,33123404,301924651,214006024,178600,0,3632090618,3704011672,3489526950,214484722,0,171978149,0,150,
9997007,2020,4511,40609635,747043795,388569515,142990183,215484097,482815,224334711,60629640,290933812,212238082,178600,0,3097621680,3150139240,2947906533,202232707,0,170210058,0,136,
9997007,2021,4511,36196256,980045661,463889529,110106407,406049725,945781,403215826,66071166,295946750,251953956,178600,0,3418460018,3490679971,3255382755,235297216,0,199415874,0,138,
9997007,2022,4511,38286977,1083719422,370785400,96391437,616542585,968440,407908637,86729475,317084403,311252324,178600,0,3566630273,3635571507,3341381387,294190120,0,245298368,0,140,
9997007,2023,4511,40137149,1047057138,321702764,107291512,618062862,2609618,266351180,101557108,280570694,441324923,178600,0,4583169456,4708981099,4299688373,409292726,0,358072599,0,142,
9997007,2024,4511,37039847,1067133211,370537449,184268183,512327579,1032241,340907707,110676676,280523166,373097750,178600,0,4798514647,4909474337,4592165944,317308393,0,268772827,0,144,
