CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
13348610,2015,4711,184626087,442915616,295641990,103270066,44003560,1675542,422826651,14540,3551109,202824945,38656600,,,2655940996,2668378105,2645427685,22950420,0,12862772,0,3472
13348610,2016,4711,219816222,432865651,313432417,70436286,48996948,2338519,424776336,1610,3656346,226586100,38656600,0,2865256831,2882107001,2847752594,34354407,0,23759843,0,3502,
13348610,2017,4711,240099093,443837963,326387805,63784210,53665948,2792841,438850898,389293,7606702,239883004,38656600,,2996698015,3017090144,2987108452,29981692,0,19107485,0,4190,
13348610,2018,4711,247706168,436770922,326623806,67653934,42493182,3077004,406523237,311716,4859134,275860007,38656600,,3453623213,3469760831,3420244559,49516272,0,35977004,0,4174,
13348610,2019,4711,248395527,542716558,355908066,143301782,43506710,3159287,458004878,401716,4859134,331005644,38656600,,3961099510,3979549509,3909574774,69974735,0,55145637,0,4716,
13348610,2020,4711,270092918,663703175,457305928,167102314,39294933,3632403,519385312,484416,1543500,416015268,38656600,,4731202178,4750673563,4641406287,109267276,0,85009624,0,5213,
13348610,2021,4711,330877445,751509096,617897224,86229635,47382237,2760700,684304132,136500,1778739,398927870,38656600,,5395014100,5418164531,5267430360,150734171,0,123067863,0,5317,
13348610,2022,4711,452336230,1056786100,852310853,109764089,94711158,4957218,1011229631,100500,1166250,501583167,38656600,,7175876551,7198273277,7007541122,190732155,0,152655297,0,6446,
13348610,2023,4711,577303574,1010393725,732924054,131935320,145534351,6334460,1051379002,64500,554620,542033637,38656600,,8324372898,8355087682,8080695379,274392303,0,224467155,0,6524,
13348610,2024,4711,742892432,1091240042,822664574,193294963,75280505,7509372,1217644201,28500,948316,623020829,38656600,,9445365304,9576299742,9261618286,314681456,0,224987192,0,7283,
