CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
3804247,2015,4712866,4839117,861178,3312855,665084,52486.0,4788126,,596938.0,4219405,130200,,,21034970,21375374,17580886,3794488,0,2911328,0
3804247,2016,4328345,6336301,543323,4775457,1017521,,4032443,,596938.0,6035265,130200,,26969381.0,27993051,21354456,6638595,0,5422988,0,74
3804247,2017,6402616,9388647,588389,7529163,1271095,9722.0,5843571,,596938.0,9360476,130200,,40803048.0,40960794,30375665,10585129,0,8748199,0,79
3804247,2018,10625874,14627982,2266605,10816002,1545375,9264.0,9382049,,596938.0,15284133,130200,,91038665.0,91472727,74150980,17321747,0,14632375,0,114
3804247,2019,11046927,7706944,2510414,3889720,1306810,49603.0,7294340,,596938.0,10912196,130200,,46462669.0,48202985,43854695,4348290,0,3476463,0,126
3804247,2020,9812691,19942145,3140093,9925038,6877014,83742.0,20245404,,596938.0,8996236,130200,,44405015.0,44630838,34780436,9850402,0,8240894,0,71
3804247,2021,10079527,38648967,20027485,17530588,1090894,488964.0,27926833,,596938.0,20693687,130200,,135518067.0,136123003,112687580,23435423,0,20041124,0,98
3804247,2022,10680921,46155191,12816490,30814273,2524428,362987.0,49922518,,,7276581,130200,,123630106.0,132622127,124964551,7657576,0,6412210,0,112
3804247,2023,7903119,86439233,36530039,48071316,1837878,318395.0,78071820,,,16588927,630200,,118274709.0,115251075,97143281,18107794,0,15436364,0,78
3804247,2024,17078461,144028130,70291775,70625442,3110913,340396.0,117957143,,,43489844,1130200,,330636496.0,331585681,283170857,48414824,0,41837281,0,96
