CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
16601724,2015,20935073,314780659,117190597,57351066,140238996,872704,309196849,,3449497,23942090,16000000,,,353567776,396155540,391570869,4584671,0,4584671,0
16601724,2016,21165380,321009364,127043627,121605961,72359776,647289,311209067,168653.0,2289823,29154490,16000000,,206418206.0,396160746,385588880,10571866,0,8188202,0,236
16601724,2017,23218805,473646195,166129609,277739208,29777378,652388,470607658,132513.0,9410190,17367027,39200000,,378465306.0,561655000,595905924,0,34250924,0,34250924,280
16601724,2018,30534686,492710269,95969550,304060143,92680576,446209,417519454,96373.0,3799635,102275702,50854650,,551091298.0,495678653,452538182,43140471,0,39991591,0,321
16601724,2019,64235437,610595319,114548038,428765165,67282116,2400804,553753397,439469.0,4068677,118970017,50854650,,446222347.0,541931557,520772643,21158914,0,16694315,0,468
16601724,2020,94994187,731480820,106329483,471147590,154003747,3254014,581690927,538148.0,4982892,242517054,150918530,,845480193.0,869651079,841616212,28034867,0,23483157,0,813
16601724,2021,118775669,797748917,192207175,253434427,352107315,5700407,652676423,2832882.0,7703776,259011912,150918530,,736419926.0,826918539,804816591,22101948,0,18494642,0,899
16601724,2022,148467542,832909189,283315134,207146132,342447923,2525006,741843894,1444632.0,12986452,227626759,150918530,,1251719899.0,1298704371,1303320935,0,4616564,0,6885153,1133
16601724,2023,277910329,903841307,234168135,307336594,362336578,6935712,849308886,2481637.0,46676222,290220603,150918530,,1747675174.0,1733861262,1651774877,82086385,0,62593845,0,1539
16601724,2024,352632042,976145584,65005600,261054361,650085623,7762020,575170058,231408411.0,82998113,446963064,150918530,,2410035549.0,2277240452,2051466709,225773743,0,186590061,0,1684
