CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
21520235,2015,38479868,3872448,158925,774805,2938718,28260,2314518,22664894.0,,17401164,200000,,,28026077,41033783,31964140,9069643,0,7652142,0
21520235,2016,77466694,9303412,589562,2646228,6067622,49633,23810106,57916105.0,104308.0,4989220,200000,,22746863.0,49907962,44279499,5628463,0,4746106,0,162
21520235,2017,101154074,23006079,1252555,6289458,15464066,45625,21781133,79598329.0,132559.0,22693757,200000,,69833656.0,125996479,105007504,20988975,0,17709732,0,168
21520235,2018,156372568,17156152,3410777,7932366,5813009,84313,39613128,100917083.0,137604.0,32945218,200000,,63301946.0,134049350,122126013,11923337,0,10251461,0,159
21520235,2019,13185096,190754836,141470393,28424280,3296530,117062,66412044,105822696.0,125139.0,31697115,200000,,147632451.0,138413308,100501469,37911839,0,31530085,0,170
21520235,2020,18461161,212992948,169403521,24978522,13392736,156161,103218355,117911291.0,156993.0,10323631,200000,,69380126.0,101539011,90396890,11142121,0,10083631,0,159
21520235,2021,15092431,250108023,160329747,32264125,12189642,141675,221105962,,7504810.0,36731357,200000,,167776073.0,149419423,105856884,43562539,0,36491357,0,145
21520235,2022,18212307,229909942,177321438,28789513,23798991,125401,208499911,,7495341.0,32252398,200000,,137659169.0,167407608,130473900,36933708,0,31830839,0,148
21520235,2023,15316303,169969898,149760956,8268486,11940456,146510,114778159,,1911038.0,68743514,200000,,171785992.0,155311492,77263675,78047817,0,68168745,0,104
21520235,2024,4330351,77984084,11010067,65448815,1525202,64148,16832178,,53058.0,65493347,200000,,224813628.0,113200911,38402230,74798681,0,64881889,0,76
