CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
6669684,2015,32037648,1127417059,23207867,926748639,177460553,4494914,976946503,,258563998,-71560880,,,,441336000,498255009,486111360,12143649,0,8966818,0
6669684,2016,20717147,1253257349,25567754,1038264985,189424610,3485256,1023332069,,324579898,-70452215,,,337909305.0,376919987,447836031,0,70916044,0,70916044,487
6669684,2017,23865062,1789900389,42597467,1299762844,447540078,33996294,1623109343,,352282506,-127630104,,,319474566.0,340205169,397315665,0,57110496,0,57110496,569
6669684,2018,32359310,1676336771,96781896,1366855467,212699408,38679811,1446819997,,371916072,-71360177,,,488861043.0,572575206,516305238,56269968,0,56269968,0,976
6669684,2019,33203726,1982961618,125894542,1480253719,376813357,24793175,1666291821,0.0,392893244,-18226546,0.0,0.0,985545239.0,1220477176,1163382263,57094913,0,53130502,0,1058
6669684,2020,38755824,2090884078,148857789,1667834973,274191316,38474877,1852749769,6819978.0,413788660,-105243628,0.0,0.0,1181141099.0,1196272787,1283292195,0,87019408,0,87019408,909
6669684,2021,35490920,2523905761,97264729,1995856688,430784344,18755579,2071137300,3546706.0,564801436,-61333182,0.0,0.0,1307472948.0,1376251514,1332342549,43908965,0,43908965,0,742
6669684,2022,32539837,2278381061,152609930,1634318768,491452363,14349931,1647988784,574197.0,719346391,-42638543,0.0,0.0,1556566870.0,1753643502,1729548303,24095199,0,18694106,0,798
6669684,2023,125631813,2488162181,181924856,2054995760,251241565,57692329,1832723856,26675.0,941378910,-102643118,0.0,0.0,2130349616.0,2445788739,2480125285,0,34336546,0,53609355,1419
6669684,2024,171065057,2466050237,131429129,1973838212,360782896,51961997,2034186280,0.0,1101351545,-446460534,0.0,0.0,1958375328.0,2083397438,2338614056,0,255216618,0,272174796,1737
