CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
11588780,2015,990264991,1823378378,516705586,592434569,95539621,15299910,1820500293,4875559,4726414,998841013,241500000,,,5149498472,5226772066,5060401975,166370091,0,127672891,0
11588780,2016,1268330313,1681994285,616077009,526490817,126077910,17801816,1821770816,4780851,5533743,1136041004,241500000,,5673677672.0,5801189580,5596092617,205096963,0,164089672,0,9101
11588780,2017,1221702175,1943569267,628422792,786560246,146928191,16249227,1957860161,4578222,5105116,1213977170,241500000,,6748911268.0,6880933872,6619804497,261129375,0,209713686,0,9939
11588780,2018,1303372810,2058420399,652096102,887820048,94014809,19508038,2050398339,4330262,32100761,1294471885,241500000,,7315834802.0,7442544275,7119782791,322761484,0,261712438,0,9997
11588780,2019,1481278285,2065912769,672670958,1187455140,84743813,16209892,2286522105,3918757,85183951,1187776133,241500000,,8160456319.0,8333215222,8082519380,250695842,0,196811388,0,10210
11588780,2020,1515515468,2055022330,677941641,1259548304,73720021,20145714,2253751194,4524808,58860326,1273547184,241500000,,9019087600.0,9142356015,8851200049,291155966,0,235549150,0,10523
11588780,2021,1532789984,1978005675,697268117,1126990340,84437853,24643596,2050570897,7853243,56940142,1420074973,241500000,,9396773844.0,9571463660,9173461072,398002588,0,329741784,0,10315
11588780,2022,1319359744,2100193265,802524475,1099733488,141460188,25853938,2121366923,9929301,54674533,1259436190,241500000,,10399428643.0,10590141745,10196956477,393185268,0,314113675,0,9487
11588780,2023,1337050089,1993501189,826160466,921853015,224888133,31739197,2059618985,7987266,76523493,1218160731,241500000,,11350140806.0,11539619352,11238143483,301475869,0,249032558,0,9278
11588780,2024,1410527957,2324328487,1051045238,1077971275,178471664,39260712,2752394667,7828985,104572880,909320624,255931578,,12543806855.0,12714480928,12535459411,179021517,0,52475186,0,10141
