CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
6719278,2015,1108692496,481496708,277938021,101074768,102483919,47473367,703912510,2042068,35697176,896010817,599012630,,,3562917265,3576629090,3448342599,128286491,0,102841396,0
6719278,2016,1226317653,448898595,340660812,59457274,48780509,28107553,607936613,377378,64156434,1030853376,599012630,,4325099808.0,4339841130,4172467185,167373945,0,134842557,0,8658
6719278,2017,1256065771,681074796,353243393,89386712,238444691,31448699,698006784,528137,37422895,1232631450,599012630,,4910452187.0,4929534418,4684762301,244772117,0,201778075,0,9313
6719278,2018,1376288637,710131613,380817919,63513045,265800649,24673440,853254800,555559,36361080,1220922251,599012630,,5730583935.0,5755996823,5462701954,293294869,0,254167376,0,9741
6719278,2019,1633873925,643930210,406549190,94846512,142534508,31637110,982241287,521718,33149830,1293528410,599012630,,6650445855.0,6674239926,6354832553,319407373,0,272606157,0,8826
6719278,2020,1968783763,752911377,520545231,156355476,76010670,26975385,1196527147,361412,33588830,1518193136,599012630,,7226923561.0,7246101337,7075240235,170861102,0,159498456,0,10964
6719278,2021,2116136271,776971963,585534682,134305967,57131314,30956450,1262686976,416645,35054019,1625907044,599012630,,7467352321.0,7486410152,7361895400,124514752,0,107709448,0,10663
6719278,2022,2214357031,958530829,721937775,140517175,96075879,26881089,1238530075,412800,20246093,1940579981,774012630,,8714249199.0,8749017269,8576421963,172595306,0,139651675,0,10618
6719278,2023,2377113847,1143097930,742778895,114955229,285363806,34838941,1174343794,11820890,34714117,2334171917,954012630,,9883474314.0,9917562542,9665835415,251727127,0,218633929,0,10886
6719278,2024,2526205610,1354925509,829603207,149279737,376042565,30570158,1345717467,2549164,48769693,2514664953,954012630,,10584116263.0,10652304336,10440532385,211771951,0,116976590,0,10317
