CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
11607939,2015,429580182,426486260,250270895,86452046,89763319,5286826,615450211,3711234,23403454,218788369,87060000,,,2547961743,2960489333,2898159814,62329519,0,52569277,0
11607939,2016,545532097,590260827,373853018,21416691,194991118,5902152,882652153,1212321,30322471,227508131,43772000,,3549852949.0,3911006139,3762739161,148266978,0,126848756,0,9469
11607939,2017,2913736767,705687027,406978976,25695189,273012862,42137222,2008541129,1576763,42546354,1608896770,27075200,,4730021461.0,4873668644,4709826072,163842572,0,130862984,0,11662
11607939,2018,3316384105,837433514,611707296,51481128,174245090,39084314,2620312922,5439339,48839848,1518309824,1294297600,,5921486806.0,6138843840,6175944077,0,37100237,0,90586945,13578
11607939,2019,2951007821,1172819911,910801653,112963058,149055200,31166867,2978389070,4870268,84741618,1086993643,898633600,,7264762866.0,7529528836,7509229022,20299814,0,0,35652181,16277
11607939,2020,2946584705,1415536384,1068754542,202526333,144255509,27364483,3302623547,11033797,116242101,959586127,898633600,,8837068812.0,9265509233,9361465637,0,95956404,0,124327406,17979
11607939,2021,2902717127,1761883523,1356439871,228538893,176904759,23842109,3696183980,8542955,154900004,828815820,898633600,,9523454500.0,10191575038,10278938146,0,87363108,0,130770307,15980
11607939,2022,2952007175,2055372354,1518051857,244991482,292329015,15132037,4270590545,4393551,204679747,542847723,898633600,,11660657559.0,12351354370,12609129877,0,257775507,0,285968097,13714
11607939,2023,2737211766,2115638573,1627166601,212292800,276179172,18336545,4451857597,6853469,82655757,329820061,898633600,,12925985296.0,13721257567,13920784938,0,199527371,0,213027662,9944
11607939,2024,2587356338,1984188333,1599083698,183499113,201605522,13057358,4411605170,4416876,48744458,119835525,898633600,,14125165995.0,14937894815,15005624220,0,67729405,0,209984537,6072
