CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
7745470,2015,467630052,598502319,318681852,263790934,16029533,8636618,392513795,6232169,16190216,659832809,242154900,,,4421926935,4450206625,4362924076,87282549,0,72111545,0
7745470,2016,437717405,661861766,334252591,283283193,44325982,7763186,341209562,7872236,13113441,745147118,242154900,,4735385166.0,4784352027,4606019750,178332277,0,153061727,0,213
7745470,2017,523018891,668266846,371976602,236852329,59437915,7263792,359184096,8350164,17316303,813698966,242621500,,5469740835.0,5514969483,5299438191,215531292,0,183299265,0,228
7745470,2018,475938471,827109990,400497600,283374285,143238105,4471361,455524622,9578588,17968034,824448578,242621500,0.0,6721687637.0,6744811315,6448535489,296275826,0,254517554,0,246
7745470,2019,467348801,832624172,368022925,301489884,163111363,3998438,429707026,8216589,18888321,847159475,242621500,0.0,7070471918.0,7100831296,6779383859,321447437,0,277228451,0,245
7745470,2020,477666041,1024446234,363754347,246956492,413735395,3375382,630521993,8368840,15937446,850659378,242621500,0.0,5548089740.0,5582853819,5262430193,320423626,0,280728354,0,242
7745470,2021,477972597,901413917,393912841,279161620,228339456,3536239,441347187,7410121,14398879,919766566,242621500,0.0,7913297219.0,7950958621,7550963444,399995177,0,349835542,0,258
7745470,2022,575258562,1000449556,467652444,423514330,109282782,3511923,552595503,5283768,19606983,1001733787,242621500,0.0,9295076994.0,9332967847,9148509153,184458694,0,161967221,0,258
7745470,2023,554001382,1338493152,503651908,624432474,210408770,3663467,588740475,6347107,24020400,1277050019,242621500,0.0,9163530997.0,9201598446,8923940928,277657518,0,243306299,0,259
7745470,2024,538895165,1286003485,584980287,427740692,273282506,4583908,600911101,6545246,22225185,1199801026,242621500,0.0,9566728361.0,9608999527,9410278263,198721264,0,166069540,0,278
