CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
11201891,2015,2422620820,1107837854,261007716,781291775,65538363,1113448,1561523050,71296655,30973872,1867778545,980379200,,,14776387601,15028791653,14633494886,395296767,0,331008143,0
11201891,2016,2697374782,1264736580,298132521,854430261,112173798,2355395,1916011769,66739020,36490598,1945225370,980379200,,14401855760.0,14582987323,14138431928,444555395,0,385759961,0,220
11201891,2017,1821794778,1319428557,341127827,830371001,147929729,2347109,1137562523,62864293,28414073,1914729555,980379200,,15063976049.0,15207258328,14841021278,366237050,0,320516157,0,210
11201891,2018,1011641247,2836236155,326191584,1949868195,560176376,2277935,1734775055,70362540,30085155,2014932587,894300000,0.0,17871675071.0,18020643479,17521291366,499352113,0,419006405,0,219
11201891,2019,1006081391,2324949091,364110879,1879946271,80891941,1797452,1182094265,63256251,30800489,2056676929,894300000,,19117465324.0,19221847689,18694098059,527749630,0,442844061,0,210
11201891,2020,951420017,2053723288,309163905,1661659290,82900093,1986939,937561607,65552153,36480386,1967536098,894300000,,14519721316.0,14592505663,14209664151,382841512,0,328267932,0,186
11201891,2021,1069094912,2599570499,354404819,2140591036,104574644,1953224,1307847753,56892095,33570815,2272307972,894300000,,18913092336.0,18988395246,18394591979,593803267,0,501978092,0,185
11201891,2022,1067083064,3353087203,353518350,2778921882,220646971,10478352,1996720645,61932401,33103469,2338892104,894300000,,27047276075.0,27178965583,26531975269,646990314,0,555840030,0,187
11201891,2023,1080487888,2602558406,552065809,1782416415,268076182,8519150,1168267368,64149145,40412881,2418736050,894300000,,23037574626.0,23165163261,22432393428,732769833,0,620965514,0,190
11201891,2024,1453046875,2972530993,661281882,2172665238,138583873,4826099,1629676933,69823613,53768632,2677134789,894300000,,24494231229.0,24643089472,23945651594,697437878,0,574621651,0,205
