CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
12546600,2015,151571886,92878620,37776154,12587618,5670447,358282,10937301,,,233871487,295747628,,,616265682,622382494,620362893,2019601,0,2019601,0
12546600,2016,160934932,81318711,26152705,12734902,4742033,258984,6790365,,,235722262,295747628,,572680451.0,582131353,578127895,4003458,0,4003458,0,443
12546600,2017,172188226,72282620,29476471,20863358,5334304,389117,9731681,,,235128282,295747628,,731520305.0,734036232,734604329,0,568097,0,568097,473
12546600,2018,207344591,48178164,23075061,16847702,3881431,426980,15065115,,1445490.0,239439130,295747628,,927612236.0,937921965,932764978,5156987,0,5156987,0,506
12546600,2019,228231226,73871832,20641722,22025535,4345927,503255,66056545,,1558929.0,234990839,295747628,,869174820.0,871104292,870845190,259102,0,259102,0,566
12546600,2020,260894552,107012850,36434436,28238166,21075981,532850,126522093,,1210944.0,240707215,295747628,,827086336.0,829903299,822867416,7035883,0,6804019,0,669
12546600,2021,277264992,145168065,69842787,39500273,23212154,1413867,163820084,37591.0,2829570.0,257159679,295747628,,1429349853.0,1433483950,1416768274,16715676,0,16452465,0,682
12546600,2022,278356198,193866189,104964630,70364375,10017114,330447,207566552,34515.0,2422579.0,262529188,295747628,,2598746673.0,2624694144,2618643656,6050488,0,5369510,0,690
12546600,2023,276281218,260778394,171151088,76952821,7950489,338572,259830676,147190.0,4174828.0,273245490,295747628,,2721307760.0,2739941242,2727049865,12891377,0,10716302,0,697
12546600,2024,276217440,291734089,173545883,101738050,5708241,331697,262636864,213213.0,4494497.0,300938652,295747628,,3634278852.0,3651761032,3616166495,35594537,0,27693161,0,740
