CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
16002342,2015,69314703,41781997,1049720,40569262,163015,1155948,77646479,108475,331901,34165793,1000000,0,0,167580128,173235329,166597691,6637638,0,5512591,0
16002342,2016,110310504,51874896,1264429,48919729,1690738,1709164,119210035,189709,319350,44175470,1000000,0,207190986,214627919,204194061,10433858,0,10122867,0,724
16002342,2017,124926696,58461896,1574842,55986848,900206,1335809,125203361,228100,279493,59013447,1001000,0,254002031,262057494,246410017,15647477,0,14260297,0,791
16002342,2018,161280206,70973485,1517462,69040376,415647,1281594,161839007,171074,233804,71291400,1001000,0,323601588,331232277,312518343,18713934,0,16304068,0,867
16002342,2019,180581730,91383563,1566085,89045075,772403,760183,191787076,252477,55343,80630580,1001000,0,402170455,411079268,388762370,22316898,0,18965497,0,946
16002342,2020,217763048,106888434,1641739,96543089,8703606,811602,207393460,702863,0,117366761,1120000,0,432031146,444914077,411061535,33852542,0,28779262,0,975
16002342,2021,229108772,105997680,2140140,101692204,2165336,1363615,218424679,582904,0,117462484,1120000,0,502020236,511680066,498981755,12698311,0,10458133,0,1008
16002342,2022,210400883,182536516,2648047,177938825,1949644,2071845,249959048,1233148,0,143817048,1120000,0,635607230,655838061,608587881,47250180,0,41174665,0,992
16002342,2023,198277918,201618875,2161816,198918154,538905,1446050,254932982,1083109,0,145326752,1120000,0,665482399,684541560,663887977,20653583,0,18172833,0,908
16002342,2024,254949946,130109082,2373976,126384951,1350155,2000336,232170514,601729,0,154287121,1120000,0,613270667,634469046,604122050,30346996,0,25993256,0,574
