CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
25184383,2015,10982444,5466170,20835,5210624,234711,,9650241,,,6798373,200,,,29390211,31973491,27551205,4422286,0,3399795,0
25184383,2016,14916586,5999167,26439,5796945,175783,,8773298,,,12142455,200,,36130781.0,39795482,31591472,8204010,0,6862175,0,116
25184383,2017,19245119,8130632,52643,7927792,150197,,10374900,,,17000851,200,,49738592.0,52130315,44084034,8046281,0,6749343,0,138
25184383,2018,21076792,11356798,202039,10742213,412546,4202.0,10812241,,,21625551,200,,66394431.0,69329588,61100575,8229013,0,7065595,0,171
25184383,2019,31989451,21069617,369411,19965893,734313,42033.0,21053917,1764.0,,32045420,200,,107534582.0,111933952,94873873,17060079,0,14649372,0,211
25184383,2020,33053269,39324426,1755267,36086924,1482235,316792.0,24524734,1764.0,,48167989,200,,140720511.0,144267199,120033033,24234166,0,20876148,0,253
25184383,2021,35531808,41835102,329383,41176972,328747,205432.0,28298468,385776.0,,48888098,5000200,,143573653.0,147910229,139456095,8454134,0,7464187,0,280
25184383,2022,34830488,60067820,4540426,54282768,1244626,57034.0,59705863,2973.0,,35246506,5000200,,226362281.0,238126556,213499089,24627467,0,20983468,0,292
25184383,2023,31443819,82578795,1848457,76422687,4307651,3367439.0,51410711,2973.0,,65976369,5000200,,287607295.0,300923045,266768175,34154870,0,30729864,0,273
25184383,2024,53738159,100212512,2109871,92046170,6056471,4219352.0,68512727,1209.0,,89656087,5000200,,324048325.0,329784112,283232783,46551329,0,41347073,0,290
