CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
17802998,2015,5393739,67816646,1763989,65465661,586996,2081570,39272812,384018,735575,34899550,77414,,,275080189,283208023,266474399,16733624,0,13839857,0
17802998,2016,3461026,82125756,2253699,79110937,761120,2678927,45814622,561082,1190726,40699279,77414,,303597681.0,317051603,298357995,18693608,0,15308150,0,788
17802998,2017,4561998,88013245,2490378,85156416,366451,3159311,48194437,1077685,1367473,45094959,77414,,335397170.0,347432688,336319973,11112715,0,9247730,0,832
17802998,2018,9516071,106162500,2889751,102317699,955050,4020014,61547457,291230,1514605,56345293,77414,,384463641.0,400986860,387280722,13706138,0,11250334,0,834
17802998,2019,7602812,120378183,1956895,105951665,12469623,4037054,77636878,186821,1978854,52215496,77414,,405996017.0,421773380,420202234,1571146,0,650103,0,829
17802998,2020,4251098,116646383,1799209,106639373,8207801,3300671,64093143,361799,3036970,56706240,77414,,326194041.0,344936096,339050221,5885875,0,4490744,0,636
17802998,2021,5484420,112768011,2066082,104347840,6354089,6474051,60069453,27500,3923160,60706369,77414,,366573186.0,401979144,396995425,4983719,0,4000129,0,638
17802998,2022,8706607,128878550,2612397,121970054,4296099,5632704,77579467,36730,3501848,62099816,77414,,421619351.0,490234468,488336452,1898016,0,1393447,0,637
17802998,2023,15389342,133243660,1966817,122293049,8983794,5494891,75291537,570185,3616605,74649566,77414,,443792468.0,481087442,466219939,14867503,0,12549750,0,634
17802998,2024,7807037,143219410,2612322,129248893,11358195,3541375,80777101,13750,2778629,70998342,77414,,475042932.0,490025488,488872143,1153345,0,0,3651225,626
