CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
30373575,2015,664628,384177,737,352270,31170,52862,717088,,,384579,400,,,4050662,4080623,3832543,248080,0,198968,0
30373575,2016,1130912,443111,934,282726,159451,65549,1190994,45000.0,,403578,400,,6377372.0,6447362,5962810,484552,0,403098,0,18
30373575,2017,3371509,1284554,357,500176,784021,70666,4390980,,,335749,400,,10357727.0,10724119,10282877,441242,0,335269,0,31
30373575,2018,4468309,2372289,167672,1712873,491744,136336,5826638,,,1150296,335600,,13749130.0,14772781,13774590,998191,0,814547,0,40
30373575,2019,5557154,3667410,35776,3492848,138786,187838,6976309,,,2436093,335600,,18701519.0,20056831,17815092,2241739,0,1834510,0,48
30373575,2020,6734256,6110041,1192804,4015930,901307,48338,9898457,,,2994178,335600,,41068828.0,43310179,40195804,3114375,0,2608589,0,56
30373575,2021,16270493,14829203,2870322,9791191,2167690,18063,14261979,,,16855780,2944188,,335615259.0,336951114,320818644,16132470,0,13861602,0,64
30373575,2022,51348679,35878497,11209349,13069813,11599335,360511,50977992,,,36609695,2944188,,541035816.0,547929070,524824184,23104886,0,20441503,0,104
30373575,2023,94574243,47735668,13185648,30960049,3589971,436463,93068156,,,49678218,2944188,,694644065.0,710411957,677445807,32966150,0,28235734,0,176
30373575,2024,110706047,32596965,7785155,24777762,34048,918128,81730149,18403560.0,,44087431,42944188,,422683285.0,435821375,435823185,0,1810,0,2276177,151
