CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
10012185,2015,12139614,11088469,104854,10646869,336746,268915,16732284,104539,,6660175,2665000,,,44175215,46662834,44560387,2102447,0,1830330,0
10012185,2016,19987142,16249808,334865,15488533,426410,209107,28876494,194431,,7375132,2665000,,54659008.0,59224716,58402716,822000,0,714957,0,171
10012185,2017,29660369,20820538,463939,20007105,349494,374593,41848042,121895,,8885563,2665000,,79392695.0,82963552,79840238,3123314,0,2686412,0,186
10012185,2018,42392361,32030250,465688,30922247,642315,336822,65468146,217088,,9074199,2665000,,116430226.0,126307239,125940463,366776,0,286271,0,187
10012185,2019,33000367,37362563,486573,35215091,1660899,261903,62218237,170902,,8235694,2665000,,118166211.0,123442873,123078280,364593,0,261426,0,158
10012185,2020,41291610,35258054,1656512,29666576,3934966,304534,63540410,124588,,13189200,2665000,,126888997.0,132771112,124698057,8073055,0,7029723,0,138
10012185,2021,47387700,59896144,8111308,38299618,13485218,350818,91044608,75802,,16514252,2665000,,172484984.0,178893992,171941106,6952886,0,6199565,0,148
10012185,2022,95313782,87197486,11610464,59323116,16263906,828091,161422472,183782,,21733105,2665000,,268582752.0,281566249,273410721,8155528,0,7152109,0,280
10012185,2023,161033101,93798692,5649402,83176183,4973107,817215,238782968,177721,,16688319,4145000,,381536049.0,402171785,406855660,0,4683875,0,4683875,339
10012185,2024,163942010,105822787,6116232,96501471,3205084,891902,249936167,130054,,20590478,4145000,,421782708.0,430880702,424911262,5969440,0,5931214,0,392
