CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
17810435,2015,6590888,23231179,31599.0,8985733,14213847,878911,14656539,,585293,15459146,2663000,,,68132658,68236692,62568893,5667799,0,4585187,0
17810435,2016,54694516,76090886,12595.0,9954458,66123833,3641201,40206896,,1909660,92310047,2664000,,107233373.0,107392532,100784759,6607773,0,4850901,0,566
17810435,2017,55833193,158048696,12595.0,69965395,88070706,4688234,114700354,,2382081,101487688,2664000,,155600054.0,155747480,144450868,11296612,0,9177641,0,846
17810435,2018,97988554,59173215,0.0,44874991,14298224,7757990,42205822,,3431692,119282245,2664000,,239143337.0,239548580,218715133,20833447,0,17794556,0,1089
17810435,2019,112139782,92576151,,44747558,47828593,6100837,71976990,,5263292,133576488,2664000,,321279827.0,321505875,303668655,17837220,0,14294243,0,1956
17810435,2020,150246241,104870994,,13038319,91832675,5530885,91154775,,9712115,159781230,2664000,,443038568.0,444339490,414299277,30040213,0,25481302,0,3209
17810435,2021,163285061,230757955,,53514600,177243355,4751860,125830691,,10047051,262917134,79943760,,555296164.0,557192533,532507397,24685136,0,19857858,0,3216
17810435,2022,397898959,232861043,,227803822,5057221,10248850,126967543,,16535388,497505921,279943760,,616776705.0,618756176,621492463,0,2736287,0,8220876,4234
17810435,2023,467857925,161762907,,128349629,33413278,9827328,116940164,,19125931,503382065,279943760,,702488808.0,707109067,759289402,0,52180335,0,52531324,3770
17810435,2024,347692437,336627656,,336607737,19919,11901247,86865382,,81627966,527727992,279943760,,802040837.0,816929780,829287575,0,12357795,0,29565565,3424
