CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
2864518,2015,229442410,473642991,395192020,63912158,14538813,4585198,557875261,21323154,,128472184,111785638.0,,,1958418884,1973735057,1954358295,19376762,0,16381417,0
2864518,2016,225166340,782914974,677472717,76715714,28726543,9175567,827402195,26645249,,163209437,108770432.0,,2745385511.0,2790473547,2742473749,47999798,0,39737267,0,3011
2864518,2017,242485228,938384316,813684135,79587461,45112720,6805911,966445204,8488551,,212741700,108770432.0,,3283840109.0,3309734037,3253286806,56447231,0,48655963,0,2995
2864518,2018,295441148,1036515363,932861961,77412136,26241266,-2852717,1052484134,10391977,,266227683,108770432.0,,3553929607.0,3604864337,3530242124,74622213,0,63485982,0,3112
2864518,2019,333865080,1115383246,1001861910,68110326,45411010,4596595,1095549543,26636241,,331659137,,,4077303337.0,4164562821,4078087624,86475197,0,75431454,0,3546
2864518,2020,392363566,1266342310,1089319260,94739786,82283264,9832895,1181576761,53475497,,433486513,108770432.0,,5061080735.0,5226154234,5083225808,142928426,0,123327377,0,4043
2864518,2021,450855773,1799861080,1616138353,154961937,28760790,9589190,1734552419,78817490,,446936134,88770432.0,,5876809470.0,6035066459,5889976925,145089534,0,129490778,0,3959
2864518,2022,498350024,1792800776,1467660752,185333823,139806201,9222093,1712446452,53247822,,534678619,88770432.0,,6525065144.0,6637458418,6510456041,127002377,0,114575841,0,3639
2864518,2023,673087882,1898751816,1490818696,250673166,157259954,13126755,1848030924,102781271,,634154258,88770432.0,,7004955231.0,7135897258,6974849138,161048120,0,145851752,0,3717
2864518,2024,842999235,2148284418,1475119899,517179288,155985231,11154783,2024646916,111315429,,866476091,226770432.0,,7659166766.0,8045270872,7651875775,393395097,0,380321831,0,3728
