CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
17233051,2015,2189486344,760978394,405283897,333224827,22469670,44087944,1790517384,,78807405,1125227893,1317045210,,,4444160904,4463839219,4413184854,50654365,0,52898610,0
17233051,2016,2192821589,740181700,452126203,233004320,55051177,28445170,1709117072,,34892616,1217438771,1317045210,,4895591739.0,4912327445,4909177054,3150391,0,0,23946123,9337
17233051,2017,2305426591,702003981,407073111,199579784,95351086,20941932,1712941663,,23554345,1291876496,1317045210,,5223286301.0,5232086148,5145085748,87000400,0,74992728,0,9290
17233051,2018,2037025714,661018091,410472744,174384054,76161293,10529326,1627913187,3926.0,36576948,1044079070,882579703,,5405479367.0,5410685145,5359572020,51113125,0,35007660,0,10123
17233051,2019,2118689182,846589217,418133054,161924300,266531863,12918442,1686363420,4348.0,56530547,1235298526,882579703,,5480387497.0,5528713890,5471387665,57326225,0,28160448,0,8673
17233051,2020,2072891436,710244231,484863435,172358710,53022086,11764260,1571528037,6299.0,49052442,1174313149,732579703,,5553283727.0,5561218709,5426182103,135036606,0,101018257,0,8270
17233051,2021,2054922358,675803565,478322854,141734455,55746256,12464513,1658265926,6666.0,55665042,1029252802,602579703,,6332744367.0,6336784970,6217838793,118946177,0,85275770,0,7911
17233051,2022,2236765835,811183134,553952891,160732712,96497531,28530583,1817321527,8200.0,62917657,1196232168,602579703,,6937753430.0,6988419925,6860392328,128027597,0,100321597,0,7334
17233051,2023,2155265104,944093496,547618878,156334365,240140253,17890517,1885059260,1022555.0,38187250,1192980052,602579703,,7255097289.0,7277398693,7161812977,115585716,0,86738368,0,7012
17233051,2024,2114518586,846021951,605826835,181769524,58425592,16988334,1941435567,10190.0,1974158,1034108956,534079703,,7747205728.0,7758930455,7689939912,68990543,0,0,8669963,6663
