CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
5541546,2015,380162512,342537197,93188072,218567327,30781798,4104665,503222002,76106106,6644197,140832069,76363000,,,964163553,1017108839,986177694,30931145,0,22215613,0
5541546,2016,586438761,451421586,114898715,249641526,86881345,5040755,755861757,87628502,14596217,184814626,76363000,,1504737615.0,1565014171,1509279034,55735137,0,43982557,0,2124
5541546,2017,896988462,576368106,156435380,361640455,58292271,5394780,1076137128,116778356,17483735,268352129,76363000,,2285588976.0,2346913757,2246412806,100500951,0,83537504,0,2491
5541546,2018,1219842820,736327697,239491250,438229832,58606615,4841913,1406343223,137644455,25142459,391882293,76363000,,3001967286.0,3083292757,2937186595,146106162,0,123530164,0,3287
5541546,2019,1344060482,954126351,316420872,538602030,99103449,693988,1404545759,164835908,33685322,695813832,169363000,,3708547304.0,3815965179,3672850339,143114840,0,117931539,0,3608
5541546,2020,1614277140,914162470,387594537,425777934,100789999,918138,1576643157,138866531,59761145,754086915,169363000,,3922423230.0,4027844230,3954984388,72859842,0,58273083,0,3954
5541546,2021,1785705698,1593431228,847958414,632060812,113412002,998956,2295292865,143814329,71878832,869149856,169363000,,4809804255.0,4861072918,4729070051,132002867,0,115062940,0,4545
5541546,2022,1878366423,1962000391,1298808869,527846644,135344878,9012088,2560455966,138776387,91468613,1058677936,169363000,,7014358581.0,7146750265,6920360507,226389758,0,189528080,0,5219
5541546,2023,1848756730,1590432290,1125026133,327493166,137912991,10526419,1901575550,162249662,135204518,1250685709,169363000,,8150952634.0,8295635965,8083928149,211707816,0,192007773,0,5875
5541546,2024,1722225504,1622806591,980638474,480008297,162159820,8086944,1689848238,151208462,103675206,1408387133,169363000,,8104674846.0,8279933415,8052264541,227668874,0,157701424,0,5876
