CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
22043010,2015,34005048,2541713899,232703423,1425772596,883237880,1346962,1655152328,,5749699,916163882,184781415,,,4839538137,5007251080,4885352601,121898479,0,111845743,0
22043010,2016,38151698,2997136614,213712608,1475267541,1308156465,12898537,1950635338,,8852260,1088699251,184781415,,4823634172.0,5009574996,4813322848,196252148,0,173640203,0,186
22043010,2017,42635465,1790809437,121143411,1401948229,267717797,31396151,1159990863,,6779287,698070903,184781415,,4735371630.0,4984929276,4908023241,76906035,0,72414037,0,182
22043010,2018,38476886,1706752608,130234933,1512420509,64097166,9685690,1053768183,833336.0,8613757,691699908,184781415,,3712168841.0,3976791226,3899916050,76875176,0,66150091,0,175
22043010,2019,46312670,1828054404,368926351,1387181293,71946760,3719482,1249269824,1076957.0,19514082,608225693,184781415,,4011906935.0,4298634880,4263813555,34821325,0,29318548,0,195
22043010,2020,230355990,1989751819,352581436,1520111421,117058962,1926392,1042707047,2713801.0,40558171,1136055182,323028810,,4211263733.0,4479503936,4478537922,966014,0,0,5903189,172
22043010,2021,463307891,3034352186,460449822,2463596016,110306348,2141400,2351986943,6410937.0,31782919,1109620678,323028810,,6821957637.0,7161368412,7102831611,58536801,0,48131844,0,207
22043010,2022,513021052,4425447157,947872141,3306120048,171454968,4165007,4172954404,12138658.0,45808175,711731979,323028810,,13725371052.0,14152121246,14511020620,0,358899374,0,358899374,668
22043010,2023,506364070,4088497959,1163939474,2799903158,124655327,3861839,3708784595,4795281.0,35363544,849780448,323028810,,10281014037.0,10610030577,10473255041,136775536,0,133534020,0,679
22043010,2024,418484718,3091794269,645050138,2395639318,51104813,2756524,2502719675,869172.0,40480720,968965944,323028810,,8055133275.0,8391471400,8249840473,141630927,0,115007335,0,723
