CUI,An,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati
8119423,2015,591966211,1076390066,296601281,158298885,41008968,1923088,791075872,3483947,106351549,769367997,13537500,0.0,,4494359155,4524856549,4461099306,63757243,0,35462666,0
8119423,2016,568410122,1169006477,274504718,133080040,39740357,1847345,768088579,3593063,109115023,858467279,13537500,0.0,4356994496.0,4392442208,4257486020,134956188,0,103436195,0,4140
8119423,2017,545243980,1224543233,280706072,112507962,77340169,2380927,762305349,8537371,68118913,933206507,13537500,0.0,4729779600.0,4768026052,4628584878,139441174,0,116129379,0,3908
8119423,2018,534407716,1357218972,324550222,80440781,102296789,5038017,822640585,7342566,91345727,975335827,13537500,0.0,5303120916.0,5348813490,5227807810,121005680,0,88631796,0,3679
8119423,2019,522951285,1436945522,343728756,89976171,73743676,10049633,848585236,9111710,78946282,1033303212,13537500,,5824059150.0,5882834220,5759885765,122948455,0,93273777,0,3408
8119423,2020,513583676,1499316545,404782581,68848743,40348973,11749490,828075969,10480895,75342846,1110750001,13537500,,6120185856.0,6186095794,6084470604,101625190,0,77446779,0,3523
8119423,2021,1504162920,1783753406,473029994,70240322,80674314,14188576,1026519532,14521462,88159930,2172903978,13537500,,7282864241.0,7332823944,7239497043,93326901,0,65281305,0,3619
8119423,2022,1460615546,1734643642,711282180,131588033,108459920,17251934,1365487627,23826283,111888303,1711308909,13537500,,9333600126.0,9414072434,9341145062,72927372,0,38054543,0,3627
8119423,2023,1479786203,1418119448,666634322,127857010,164753409,22317790,1382545521,23329298,136626018,1377722604,13537500,,10516327316.0,10606399993,10520653732,85746261,0,41047004,0,3928
8119423,2024,1537856199,1562715066,791539481,163827172,138718872,20130422,1699496126,18443844,114667231,1288094486,13537500,,11307717690.0,11400105709,11315062712,85042997,0,0,28144574,3981
