CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
160796,2015,2910,3410889812,3964964560,515260576,1638398066,1811305918,6589937,3414964100,70699543,94193838,3802586828,2541738211,,,19164558589,19411019248,18914589603,496429645,0,447938323,0,13884
160796,2016,2910,3765165904,4181146205,548718866,2093962485,1538464854,6416350,3899736796,68936574,93041075,3891014014,2541738211,,20764966545,20976553184,20470648795,505904389,0,456534525,0,13835,
160796,2017,2910,4465383714,4625703558,614560496,2510970234,1500172828,8282856,4597569097,61713707,85803151,4354284173,2541738211,,23143498839,23413230619,22862698248,550532371,0,539096215,0,14261,
160796,2018,2910,4435692560,5553758602,606928988,2258944552,2687885062,13548007,4686419672,86405743,123498838,5106674916,2541738211,,24728012645,24944343469,24131347774,812995695,0,752390745,0,14723,
160796,2019,2910,5019235796,5368038186,600295106,1875403536,2892339544,15475702,4633532034,72526742,159319170,5537371738,2541738211,,24671026083,24917833920,24188334756,729499164,0,662708830,0,14761,
160796,2020,2910,4913697586,4056449023,579759919,1882688711,1594000393,20009490,3534010647,65316888,170737787,5220090777,2541738211,,18298973764,18573775125,18238011298,335763827,0,298248729,0,13685,
160796,2021,2910,4631000755,4591086793,571855074,2273834359,1745397360,22733408,3567501792,69334824,171066519,5436917821,2541738211,,21441608926,21641279920,21127932708,513347212,0,498287581,0,12946,
160796,2022,2910,4281634822,4945009585,744225287,3236588012,964196286,19951404,4617947429,60564332,146868524,4421215526,2541738211,0,25709139352,26032290459,25381804998,650485461,0,526783840,0,12195,
160796,2023,2910,3755481463,4837674693,685597697,2848178733,1303898263,7853354,4512261114,59284467,149093078,3880370851,2541738211,,26010948458,26375436296,25562667022,812769274,0,529233980,0,11457,
160796,2024,2910,4003594889,5405792276,754469419,3204223467,1447099390,6550965,5175612805,84464871,154740594,4001119860,2541735603,,27814242258,28069860853,27230390514,839470339,0,569588083,0,10987,
