CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
2816464,2015,4752,1904118352,1269296220,715028452,38615724,512637318,2312156,864114324,189030,535755,2310887619,600000000,0,0,4361619720,4414114433,3761900906,652213527,0,563025627,0,7656
2816464,2016,4752,2386985085,1416469197,855918377,39580736,519885588,2213258,881007260,494704,183898,2923981678,800000000,0,5255561777,5322138201,4503600884,818537317,0,713094060,0,8421,
2816464,2017,4752,3010021638,1459196617,988761314,67106010,402543043,2806023,857889993,839942,183898,3613110445,1250193830,0,6333363177,6447902882,5440079367,1007823515,0,889128766,0,9818,
2816464,2018,4752,3474626594,2017218974,1119181967,579963869,317959579,2588094,861351829,900142,95214,4632086477,1850193830,0,7225960923,7377046422,6224905347,1152141075,0,1013143683,0,10413,
2816464,2019,4752,4424088016,2498396273,1224814046,810040089,463354770,3725203,1009221363,1446626,95214,5915446289,1850193870,0,8217343445,8383914951,6920403000,1463511951,0,1282335863,0,10769,
2816464,2020,4752,3257525722,1922925785,1271442732,56967513,594191646,3363904,1153898751,1607675,95214,4028213771,2110193870,,9081995962,10627614649,8987239124,1640375525,0,1454402589,0,11374,
2816464,2021,4752,3469062130,2557375236,1813824180,74385219,668462097,3554958,1171817580,2197100,95214,4855882430,2570000000,,10037954171,10299302827,8412340626,1886962201,0,1678271720,0,11948,
2816464,2022,4752,3988049849,3807457087,2118876151,1258960795,429352008,3926026,2806072455,2062125,95214,4991203168,2570000000,,11045879922,11254849606,9305467049,1949382557,0,1702616369,0,12245,
2816464,2023,4752,4329508470,2205840147,1865864927,72786367,266917837,4729293,1696591870,3275388,14056,4840196596,2570500000,,11545530630,11695620190,9948656302,1746963888,0,1534733147,0,12113,
2816464,2024,4752,4508967346,2333954468,2171134030,69341056,90567085,7064385,1871265759,3636352,325000,4974759088,2570500000,0,12294042595,12390803495,10503086092,1887717403,0,1636814708,0,12313,
