CUI,An,CAEN,Active Imobilizate - Total,Active Circulante - Total,Stocuri,Creante,Casa si conturi la banci,Cheltuieli in avans,Datorii,Venituri in avans,Provizioane,Capitaluri - Total,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,Venituri Totale,Cheltuieli Totale,Profitul Brut,Pierderea Bruta,Profitul Net,Pierderea Neta,Numar mediu de salariati,I21
28909028,2015,3514,89983477,1021939614,1014,684029685,337908915,32099659,794052293,6241089,41312279,302417089,62109560,,,4177341470,4205656296,4058688809,146967487,0,131140009,0,1198
28909028,2016,3514,91412338,1096279190,206,631728229,464422100,662920,773799388,3460916,44351072,366743072,62109560,,4182569704,4209501180,4009783163,199718017,0,175794991,0,1083,
28909028,2017,3514,95053829,803696475,8,584391314,219243360,16918545,669444342,3521344,26550501,216152662,62109560,,3882396770,3932721114,3928119687,4601427,0,1565143,0,996,
28909028,2018,3514,99547799,917199404,59526,673399313,243704065,19020380,735972582,3217119,26475855,270102027,62873860,,4181401881,4221125872,4073098074,148027798,0,140644541,0,928,
28909028,2019,3514,90576017,1024261394,7415783,757198727,259626887,8342490,843774150,5304274,29514862,244586615,62873860,,4915956637,4942198448,4813336594,128861854,0,114976269,0,890,
28909028,2020,3514,97267046,1117019905,1775736,929148797,186068781,1724551,821839755,1967197,28717184,363487366,62873860,,5116236435,5145178796,4868483395,276695401,0,233293934,0,781,
28909028,2021,3514,109505690,1299671935,5841320,1233468330,60282543,13215906,1705092595,2990270,47086434,-332775768,63091960,,5943762927,6014493501,6477680801,0,463187300,0,463187300,838,
28909028,2022,3514,165588100,3885684129,26759531,3709931385,148993213,4096851,3949044213,24181600,43119167,39024100,64271480,,11235153397,11333897112,10962410756,371486356,0,370620348,0,817,
28909028,2023,3514,137207165,5359627011,25556227,5149856809,182013975,1278810,5319182082,6953104,50454815,121522985,64271480,,10846176909,10897137106,10794674244,102462862,0,64882909,0,801,
28909028,2024,3514,124917182,5570509681,27524681,5383890200,159094800,47684681,5921227789,5306140,49891806,-233314191,64271480,,8708109254,8733982844,9088820020,0,354837176,0,354837176,793,
